tree_type,policy_name,storage_type,config_name,cache_size,cache_page_limit,thread_count,timestamp,key_type,value_type,record_count,degree,operation,time_us,throughput_ops_sec,test_run_id,cache_hits,cache_misses,cache_evictions,cache_dirty_evictions,cache_hit_rate,perf_cache_misses,perf_cache_references,perf_cycles,perf_instructions,perf_branch_misses,perf_page_faults,perf_l1_dcache_misses,perf_l1_dcache_loads,perf_llc_misses,perf_llc_loads
BplusTreeSOA,A2Q,FileStorage,device_aware_non_concurrent_a2q_ghost_q_enabled,0.2500,1249,1,2025-10-10 00:54:32,uint64_t,uint64_t,100000,24,ycsb_a,25443,3930263.29,7,0,0,0,0,0.00,958769,3824028,1068137728,1908575007,7231830,3153,17072382,540875319,282638,821451
BplusTreeSOA,A2Q,FileStorage,device_aware_non_concurrent_a2q_ghost_q_enabled,0.2500,1249,1,2025-10-10 00:54:34,uint64_t,uint64_t,100000,24,ycsb_a,25457,3928165.33,8,0,0,0,0,0.00,958769,3824028,1068137728,1908575007,7231830,3153,17072382,540875319,282638,821451
BplusTreeSOA,A2Q,FileStorage,device_aware_non_concurrent_a2q_ghost_q_enabled,0.2500,1249,1,2025-10-10 00:54:36,uint64_t,uint64_t,100000,24,ycsb_a,25443,3930332.50,9,0,0,0,0,0.00,958769,3824028,1068137728,1908575007,7231830,3153,17072382,540875319,282638,821451
BplusTreeSOA,A2Q,FileStorage,device_aware_non_concurrent_a2q_ghost_q_enabled,0.2500,1249,1,2025-10-10 00:54:38,uint64_t,uint64_t,100000,24,ycsb_a,25636,3900622.29,10,0,0,0,0,0.00,958769,3824028,1068137728,1908575007,7231830,3153,17072382,540875319,282638,821451
BplusTreeSOA,A2Q,FileStorage,device_aware_non_concurrent_a2q_ghost_q_enabled,0.0200,99,1,2025-10-10 00:48:31,uint64_t,uint64_t,100000,24,ycsb_a,87116,1147888.40,1,0,0,0,0,0.00,201507,5557397,2766429802,4575098609,13363685,2865,46998391,1169031372,170813,2945531
BplusTreeSOA,A2Q,FileStorage,device_aware_non_concurrent_a2q_ghost_q_enabled,0.0200,99,1,2025-10-10 00:48:33,uint64_t,uint64_t,100000,24,ycsb_a,96198,1039520.25,2,0,0,0,0,0.00,201507,5557397,2766429802,4575098609,13363685,2865,46998391,1169031372,170813,2945531
BplusTreeSOA,A2Q,FileStorage,device_aware_non_concurrent_a2q_ghost_q_enabled,0.0200,99,1,2025-10-10 00:48:36,uint64_t,uint64_t,100000,24,ycsb_a,95969,1041993.82,3,0,0,0,0,0.00,201507,5557397,2766429802,4575098609,13363685,2865,46998391,1169031372,170813,2945531
BplusTreeSOA,A2Q,FileStorage,device_aware_non_concurrent_a2q_ghost_q_enabled,0.0200,99,1,2025-10-10 00:48:38,uint64_t,uint64_t,100000,24,ycsb_a,91055,1098225.49,4,0,0,0,0,0.00,201507,5557397,2766429802,4575098609,13363685,2865,46998391,1169031372,170813,2945531
BplusTreeSOA,A2Q,FileStorage,device_aware_non_concurrent_a2q_ghost_q_enabled,0.0200,99,1,2025-10-10 00:48:40,uint64_t,uint64_t,100000,24,ycsb_a,92211,1084465.55,5,0,0,0,0,0.00,201507,5557397,2766429802,4575098609,13363685,2865,46998391,1169031372,170813,2945531
BplusTreeSOA,A2Q,FileStorage,device_aware_non_concurrent_a2q_ghost_q_enabled,0.0200,99,1,2025-10-10 00:48:42,uint64_t,uint64_t,100000,24,ycsb_a,89880,1112592.37,6,0,0,0,0,0.00,201507,5557397,2766429802,4575098609,13363685,2865,46998391,1169031372,170813,2945531
BplusTreeSOA,A2Q,FileStorage,device_aware_non_concurrent_a2q_ghost_q_enabled,0.0200,99,1,2025-10-10 00:48:44,uint64_t,uint64_t,100000,24,ycsb_a,96297,1038444.87,7,0,0,0,0,0.00,201507,5557397,2766429802,4575098609,13363685,2865,46998391,1169031372,170813,2945531
BplusTreeSOA,A2Q,FileStorage,device_aware_non_concurrent_a2q_ghost_q_enabled,0.0200,99,1,2025-10-10 00:48:46,uint64_t,uint64_t,100000,24,ycsb_a,91502,1092870.36,8,0,0,0,0,0.00,201507,5557397,2766429802,4575098609,13363685,2865,46998391,1169031372,170813,2945531
BplusTreeSOA,A2Q,FileStorage,device_aware_non_concurrent_a2q_ghost_q_enabled,0.0200,99,1,2025-10-10 00:48:48,uint64_t,uint64_t,100000,24,ycsb_a,91429,1093742.80,9,0,0,0,0,0.00,201507,5557397,2766429802,4575098609,13363685,2865,46998391,1169031372,170813,2945531
BplusTreeSOA,A2Q,FileStorage,device_aware_non_concurrent_a2q_ghost_q_enabled,0.0200,99,1,2025-10-10 00:48:50,uint64_t,uint64_t,100000,24,ycsb_a,88798,1126145.52,10,0,0,0,0,0.00,201507,5557397,2766429802,4575098609,13363685,2865,46998391,1169031372,170813,2945531
BplusTreeSOA,A2Q,PMemStorage,device_aware_non_concurrent_a2q_ghost_q_enabled,0.1000,499,1,2025-10-10 00:42:43,uint64_t,uint64_t,100000,24,ycsb_a,25266,3957783.90,1,0,0,0,0,0.00,278256,3507997,1117648136,1936165084,7670628,46378,15921168,548671058,157601,612356
BplusTreeSOA,A2Q,PMemStorage,device_aware_non_concurrent_a2q_ghost_q_enabled,0.1000,499,1,2025-10-10 00:42:45,uint64_t,uint64_t,100000,24,ycsb_a,25505,3920771.10,2,0,0,0,0,0.00,278256,3507997,1117648136,1936165084,7670628,46378,15921168,548671058,157601,612356
BplusTreeSOA,A2Q,PMemStorage,device_aware_non_concurrent_a2q_ghost_q_enabled,0.1000,499,1,2025-10-10 00:42:47,uint64_t,uint64_t,100000,24,ycsb_a,25297,3952939.93,3,0,0,0,0,0.00,278256,3507997,1117648136,1936165084,7670628,46378,15921168,548671058,157601,612356
BplusTreeSOA,A2Q,PMemStorage,device_aware_non_concurrent_a2q_ghost_q_enabled,0.1000,499,1,2025-10-10 00:42:49,uint64_t,uint64_t,100000,24,ycsb_a,25568,3911025.12,4,0,0,0,0,0.00,278256,3507997,1117648136,1936165084,7670628,46378,15921168,548671058,157601,612356
BplusTreeSOA,A2Q,PMemStorage,device_aware_non_concurrent_a2q_ghost_q_enabled,0.1000,499,1,2025-10-10 00:42:51,uint64_t,uint64_t,100000,24,ycsb_a,25368,3941970.72,5,0,0,0,0,0.00,278256,3507997,1117648136,1936165084,7670628,46378,15921168,548671058,157601,612356
BplusTreeSOA,A2Q,PMemStorage,device_aware_non_concurrent_a2q_ghost_q_enabled,0.1000,499,1,2025-10-10 00:42:53,uint64_t,uint64_t,100000,24,ycsb_a,25411,3935162.22,6,0,0,0,0,0.00,278256,3507997,1117648136,1936165084,7670628,46378,15921168,548671058,157601,612356
BplusTreeSOA,A2Q,PMemStorage,device_aware_non_concurrent_a2q_ghost_q_enabled,0.1000,499,1,2025-10-10 00:42:55,uint64_t,uint64_t,100000,24,ycsb_a,25336,3946943.45,7,0,0,0,0,0.00,278256,3507997,1117648136,1936165084,7670628,46378,15921168,548671058,157601,612356
BplusTreeSOA,A2Q,PMemStorage,device_aware_non_concurrent_a2q_ghost_q_enabled,0.1000,499,1,2025-10-10 00:42:58,uint64_t,uint64_t,100000,24,ycsb_a,25447,3929734.31,8,0,0,0,0,0.00,278256,3507997,1117648136,1936165084,7670628,46378,15921168,548671058,157601,612356
BplusTreeSOA,A2Q,PMemStorage,device_aware_non_concurrent_a2q_ghost_q_enabled,0.1000,499,1,2025-10-10 00:43:00,uint64_t,uint64_t,100000,24,ycsb_a,25344,3945675.00,9,0,0,0,0,0.00,278256,3507997,1117648136,1936165084,7670628,46378,15921168,548671058,157601,612356
BplusTreeSOA,A2Q,PMemStorage,device_aware_non_concurrent_a2q_ghost_q_enabled,0.1000,499,1,2025-10-10 00:43:02,uint64_t,uint64_t,100000,24,ycsb_a,25398,3937283.79,10,0,0,0,0,0.00,278256,3507997,1117648136,1936165084,7670628,46378,15921168,548671058,157601,612356
BplusTreeSOA,A2Q,PMemStorage,device_aware_non_concurrent_a2q_ghost_q_enabled,0.2500,1249,1,2025-10-10 00:45:38,uint64_t,uint64_t,100000,24,ycsb_a,25447,3929658.95,1,0,0,0,0,0.00,666212,4288661,1136411552,1957832996,7735792,46579,16733254,545134723,267092,783273
BplusTreeSOA,A2Q,PMemStorage,device_aware_non_concurrent_a2q_ghost_q_enabled,0.2500,1249,1,2025-10-10 00:45:40,uint64_t,uint64_t,100000,24,ycsb_a,25245,3961168.66,2,0,0,0,0,0.00,666212,4288661,1136411552,1957832996,7735792,46579,16733254,545134723,267092,783273
BplusTreeSOA,A2Q,PMemStorage,device_aware_non_concurrent_a2q_ghost_q_enabled,0.2500,1249,1,2025-10-10 00:45:42,uint64_t,uint64_t,100000,24,ycsb_a,25705,3890205.79,3,0,0,0,0,0.00,666212,4288661,1136411552,1957832996,7735792,46579,16733254,545134723,267092,783273
BplusTreeSOA,A2Q,PMemStorage,device_aware_non_concurrent_a2q_ghost_q_enabled,0.2500,1249,1,2025-10-10 00:45:44,uint64_t,uint64_t,100000,24,ycsb_a,25491,3922848.71,4,0,0,0,0,0.00,666212,4288661,1136411552,1957832996,7735792,46579,16733254,545134723,267092,783273
BplusTreeSOA,A2Q,PMemStorage,device_aware_non_concurrent_a2q_ghost_q_enabled,0.2500,1249,1,2025-10-10 00:45:46,uint64_t,uint64_t,100000,24,ycsb_a,25653,3898055.40,5,0,0,0,0,0.00,666212,4288661,1136411552,1957832996,7735792,46579,16733254,545134723,267092,783273
BplusTreeSOA,A2Q,PMemStorage,device_aware_non_concurrent_a2q_ghost_q_enabled,0.2500,1249,1,2025-10-10 00:45:48,uint64_t,uint64_t,100000,24,ycsb_a,25725,3887247.13,6,0,0,0,0,0.00,666212,4288661,1136411552,1957832996,7735792,46579,16733254,545134723,267092,783273
BplusTreeSOA,A2Q,PMemStorage,device_aware_non_concurrent_a2q_ghost_q_enabled,0.2500,1249,1,2025-10-10 00:45:50,uint64_t,uint64_t,100000,24,ycsb_a,25500,3921561.71,7,0,0,0,0,0.00,666212,4288661,1136411552,1957832996,7735792,46579,16733254,545134723,267092,783273
BplusTreeSOA,A2Q,PMemStorage,device_aware_non_concurrent_a2q_ghost_q_enabled,0.2500,1249,1,2025-10-10 00:45:52,uint64_t,uint64_t,100000,24,ycsb_a,25357,3943586.99,8,0,0,0,0,0.00,666212,4288661,1136411552,1957832996,7735792,46579,16733254,545134723,267092,783273
